ProductName,Brand,Color,Price,ArticleID
Cargohose 'August',INDICODE JEANS,khaki,"49,95",1031638135
Hemd 'STRETCH OXFORD SHIRT',Dockers,wei?,"59,90",DOC0008001000001
Hemd,Dockers,blau,"69,90",DOC0008003000001
Hemd 'OXFORD',Dockers,blau / wei?,"69,90",DOC0008002000001
Pullover 'onsSATO MULTI CLR KNIT NOOS',Only & Sons,dunkelgr?n,"29,90",ONS0335009000001
Pullover 'SATO' Sneaker 'Authentic' Sneaker 'Authentic',Only & Sons,grau,"29,90",ONS0335016000002
Pullover 'onsSATO MULTI CLR KNIT NOOS',Only & Sons,navy,"29,90",ONS0335015000002
Pullover 'onsSATO MULTI CLR KNIT NOOS',Only & Sons,schwarz / wei?,"29,90",ONS0335014000001
Pullover Jeans 'Lean Dean' Jeans 'Lean Dean',Only & Sons,hellblau / dunkelblau,"29,99",ONS0335013000001
Pullover 'onsSATO MULTI CLR KNIT NOOS',Only & Sons,orangerot / schwarz,"29,90",ONS0335012000001
Pullover 'onsSATO MULTI CLR KNIT NOOS',Only & Sons,dunkelbraun / senf,"26,90",ONS0335010000001
Pullover,Only & Sons,anthrazit / dunkelgrau,"29,90",ONS0335007000001
Pullover 'onsSATO MULTI CLR KNIT NOOS',Only & Sons,grau / hellgrau,"29,90",ONS0335008000001
Hose 'NOOS - JJIMARCO JJBOWIE SA NAVY BLAZER NOOS',JACK & JONES,navy,"39,90",JAC1674001000002
Hose 'MARCO BOWIE SA BEIGE NOOS',JACK & JONES,hellbeige,"39,90",JAC1676001000001
Hose 'MARCO BOWIE',JACK & JONES,oliv,"39,90",JAC1675001000002
Hose 'MARCO',JACK & JONES,schwarz,"39,90",JAC1673001000001
Mantel 'S.C. Downtown',STRELLSON,braun / khaki,"379,00",STN0111001000001
Hose 'onsMARK PANT STRIPE GW 3727 NOOS' T-Shirt 'onsMATT LONGY TEE' T-Shirt 'onsMATT LONGY TEE',Only & Sons,grau,"39,90",ONS1181002000001
Hose 'onsMARK PANT STRIPE GW 3727 NOOS' Hemd 'jjprPARMA SHIRT L/S NOOS' Hemd 'jjprPARMA SHIRT L/S NOOS',Only & Sons,schwarz,"39,90",ONS1181001000002
T-Shirt 'onsMATT LONGY TEE',Only & Sons,schwarz,"14,90",ONS0284001000005
